country,year,event,event_notes,domestic_notes,external_notes
Algeria,1830.0,Currency Change,New currency: French coins,,
Algeria,1870.0,Banking Crisis,,,
Algeria,1870.0,Systemic Crisis,,,
Algeria,1877.0,Inflation Crisis,Inflation level: 29.1,,
Algeria,1878.0,Gold Standard Adoption,,,
Algeria,1878.0,Currency Change,New currency: Alegrian franc,,
Algeria,1915.0,Gold Standard Suspension,,,
Algeria,1928.0,Gold Standard Adoption,,,
Algeria,1937.0,Gold Standard Suspension,,,
Algeria,1940.0,Inflation Crisis,Inflation level: 22.2,,
Algeria,1942.0,Inflation Crisis,Inflation level: 28.1,,
Algeria,1943.0,Currency Crisis,,,
Algeria,1943.0,Inflation Crisis,Inflation level: 46.3,,
Algeria,1944.0,Currency Crisis,,,
Algeria,1944.0,Inflation Crisis,Inflation level: 41.7,,
Algeria,1945.0,Inflation Crisis,Inflation level: 29.4,,
Algeria,1947.0,Inflation Crisis,Inflation level: 69.2,,
Algeria,1948.0,Inflation Crisis,Inflation level: 63.6,,
Algeria,1949.0,Inflation Crisis,Inflation level: 23.6,,
Algeria,1960.0,Currency Crisis,,,
Algeria,1962.0,Gain of Independence,,,
Algeria,1964.0,Currency Change,New currency: dinar.,,
Algeria,1988.0,Currency Crisis,,,
Algeria,1989.0,Currency Crisis,,,
Algeria,1990.0,Banking Crisis,Share of nonperforming loans in the banking system reached 50%.,,
Algeria,1990.0,Systemic Crisis,,,
Algeria,1990.0,Currency Crisis,,,
Algeria,1991.0,Banking Crisis,,,
Algeria,1991.0,Systemic Crisis,,,
Algeria,1991.0,Currency Crisis,,,
Algeria,1991.0,Inflation Crisis,Inflation level: 25.9,,
Algeria,1992.0,Banking Crisis,,,
Algeria,1992.0,Systemic Crisis,,,
Algeria,1992.0,Inflation Crisis,Inflation level: 31.7,,
Algeria,1993.0,Inflation Crisis,Inflation level: 20.5,,
Algeria,1994.0,Currency Crisis,,,
Algeria,1994.0,Inflation Crisis,Inflation level: 29.0,,
Algeria,1995.0,Currency Crisis,,,
Algeria,1995.0,Inflation Crisis,Inflation level: 29.8,,
Angola,1854.0,Gold Standard Adoption,,,
Angola,1892.0,Gold Standard Suspension,,,
Angola,1915.0,Inflation Crisis,Inflation level: 28.9,,
Angola,1916.0,Inflation Crisis,Inflation level: 20.4,,
Angola,1917.0,Inflation Crisis,Inflation level: 35.6,,
Angola,1918.0,Inflation Crisis,Inflation level: 25.0,,
Angola,1919.0,Inflation Crisis,Inflation level: 50.0,,
Angola,1920.0,Inflation Crisis,Inflation level: 80.0,,
Angola,1921.0,Inflation Crisis,Inflation level: 29.6,,
Angola,1922.0,Inflation Crisis,Inflation level: 45.7,,
Angola,1923.0,Inflation Crisis,Inflation level: 68.6,,
Angola,1924.0,Inflation Crisis,Inflation level: 126.7,,
Angola,1926.0,Currency Change,New currency: angolar,,
Angola,1929.0,Gold Standard Adoption,,,
Angola,1932.0,Gold Standard Suspension,,,
Angola,1958.0,Currency Change,New currency: escudo Angola,,
Angola,1959.0,Currency Crisis,,,
Angola,1963.0,Currency Crisis,,,
Angola,1963.0,Inflation Crisis,,,
Angola,1964.0,Inflation Crisis,,,
Angola,1965.0,Inflation Crisis,,,
Angola,1966.0,Currency Crisis,,,
Angola,1966.0,Inflation Crisis,,,
Angola,1967.0,Inflation Crisis,,,
Angola,1968.0,Currency Crisis,,,
Angola,1968.0,Inflation Crisis,,,
Angola,1969.0,Inflation Crisis,,,
Angola,1970.0,Currency Crisis,,,
Angola,1972.0,Currency Crisis,,,
Angola,1973.0,Currency Crisis,,,
Angola,1974.0,Inflation Crisis,Inflation level: 27.4,,
Angola,1975.0,Inflation Crisis,Inflation level: 29.0,,
Angola,1975.0,Gain of Independence,,,
Angola,1976.0,Inflation Crisis,Inflation level: 80.7,,
Angola,1977.0,Inflation Crisis,Inflation level: 69.0,,
Angola,1977.0,Currency Change,New currency: kwanza,,
Angola,1978.0,Inflation Crisis,Inflation level: 48.5,,
Angola,1979.0,Inflation Crisis,Inflation level: 101.3,,
Angola,1980.0,Inflation Crisis,Inflation level: 46.7,,
Angola,1991.0,Currency Crisis,,,
Angola,1991.0,Inflation Crisis,Inflation level: 85.3,,
Angola,1992.0,Banking Crisis,Two state-owned commercial banks had insolvency problems.,,
Angola,1992.0,Currency Crisis,,,
Angola,1992.0,Inflation Crisis,Inflation level: 299.1,,
Angola,1993.0,Banking Crisis,Two state-owned commercial banks had insolvency problems.,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1993.0,Currency Crisis,,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
Angola,1993.0,Inflation Crisis,Inflation level: 1379.5,"Hyperinflation. Credit to the public sector is eroded (and de jure in default) but we have no orders of magnitude. See also Standard and Poor's 1999, 2003, and 2006.",
