country,year,exchange_rate,currency_name,currency_range
Argentina,1916,0.9666,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1917,0.9986,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1918,0.9985,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1919,1.0099,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1920,1.1025,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1921,1.3698,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1922,1.2223,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1923,1.2727,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1924,1.2799,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1925,1.0943,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1926,1.0852,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1927,1.0385,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1928,1.0365,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1929,1.0512,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1930,1.1975,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1931,1.4984,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1932,1.7111,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1933,1.3708,Gold Pesos,Gold Pesos (1916-1933)
Argentina,1934,2.978,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1935,3.062,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1936,3.0178,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1937,3.0341,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1938,3.0678,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1939,3.2414,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1940,3.3587,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1941,3.3587,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1948,4.81,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1949,9.02,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1950,14.02,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1951,14.46,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1952,13.98,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1953,13.98,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1954,13.98,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1955,36.1,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1956,37.45,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1957,37.0,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1958,70.0,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1959,79.9208,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1960,82.89,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1961,82.8558,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1962,116.228,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1963,138.717,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1964,140.392,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1965,169.567,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1966,209.15,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1967,333.425,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1968,350.0,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1969,350.0,Pesos Moneda Nacional,Pesos Moneda Nacional (1934-1969)
Argentina,1970,3.7917,Pesos,Pesos (1970-1982)
Argentina,1971,4.5217,Pesos,Pesos (1970-1982)
Argentina,1972,5.0,Pesos,Pesos (1970-1982)
Argentina,1973,5.0,Pesos,Pesos (1970-1982)
Argentina,1974,5.0,Pesos,Pesos (1970-1982)
Argentina,1975,36.575,Pesos,Pesos (1970-1982)
Argentina,1976,139.983,Pesos,Pesos (1970-1982)
Argentina,1977,407.633,Pesos,Pesos (1970-1982)
Argentina,1978,795.75,Pesos,Pesos (1970-1982)
Argentina,1979,1316.97,Pesos,Pesos (1970-1982)
Argentina,1980,1837.16,Pesos,Pesos (1970-1982)
Argentina,1981,4402.69,Pesos,Pesos (1970-1982)
Argentina,1982,25922.5,Pesos,Pesos (1970-1982)
Argentina,1983,10.53,Old Pesos Argentinos,Old Pesos Argentinos (1983-1984)
Argentina,1984,67.6491,Old Pesos Argentinos,Old Pesos Argentinos (1983-1984)
Argentina,1985,0.6018,Australes,Australes (1985-1991)
Argentina,1986,0.943,Australes,Australes (1985-1991)
Argentina,1987,2.1443,Australes,Australes (1985-1991)
