,country,year,exchange_rate,currency_name
0,Argentina,1916,0.9666,Gold Pesos
1,Argentina,1917,0.9986,Gold Pesos
2,Argentina,1918,0.9985,Gold Pesos
3,Argentina,1919,1.0099,Gold Pesos
4,Argentina,1920,1.1025,Gold Pesos
5,Argentina,1921,1.3698,Gold Pesos
6,Argentina,1922,1.2223,Gold Pesos
7,Argentina,1923,1.2727,Gold Pesos
8,Argentina,1924,1.2799,Gold Pesos
9,Argentina,1925,1.0943,Gold Pesos
10,Argentina,1926,1.0852,Gold Pesos
11,Argentina,1927,1.0385,Gold Pesos
12,Argentina,1928,1.0365,Gold Pesos
13,Argentina,1929,1.0512,Gold Pesos
14,Argentina,1930,1.1975,Gold Pesos
15,Argentina,1931,1.4984,Gold Pesos
16,Argentina,1932,1.7111,Gold Pesos
17,Argentina,1933,1.3708,Gold Pesos
18,Argentina,1934,2.9780,Pesos Moneda Nacional
19,Argentina,1935,3.0620,Pesos Moneda Nacional
20,Argentina,1936,3.0178,Pesos Moneda Nacional
21,Argentina,1937,3.0341,Pesos Moneda Nacional
22,Argentina,1938,3.0678,Pesos Moneda Nacional
23,Argentina,1939,3.2414,Pesos Moneda Nacional
24,Argentina,1940,3.3587,Pesos Moneda Nacional
25,Argentina,1941,3.3587,Pesos Moneda Nacional
26,Argentina,1948,4.8100,Pesos Moneda Nacional
27,Argentina,1949,9.0200,Pesos Moneda Nacional
28,Argentina,1950,14.0200,Pesos Moneda Nacional
29,Argentina,1951,14.4600,Pesos Moneda Nacional
30,Argentina,1952,13.9800,Pesos Moneda Nacional
31,Argentina,1953,13.9800,Pesos Moneda Nacional
32,Argentina,1954,13.9800,Pesos Moneda Nacional
33,Argentina,1955,36.1000,Pesos Moneda Nacional
34,Argentina,1956,37.4500,Pesos Moneda Nacional
35,Argentina,1957,37.0000,Pesos Moneda Nacional
36,Argentina,1958,70.0000,Pesos Moneda Nacional
37,Argentina,1959,79.9208,Pesos Moneda Nacional
38,Argentina,1960,82.8900,Pesos Moneda Nacional
39,Argentina,1961,82.8558,Pesos Moneda Nacional
40,Argentina,1962,116.2280,Pesos Moneda Nacional
41,Argentina,1963,138.7170,Pesos Moneda Nacional
42,Argentina,1964,140.3920,Pesos Moneda Nacional
43,Argentina,1965,169.5670,Pesos Moneda Nacional
44,Argentina,1966,209.1500,Pesos Moneda Nacional
45,Argentina,1967,333.4250,Pesos Moneda Nacional
46,Argentina,1968,350.0000,Pesos Moneda Nacional
47,Argentina,1969,350.0000,Pesos Moneda Nacional
48,Argentina,1970,3.7917,Pesos
49,Argentina,1971,4.5217,Pesos
50,Argentina,1972,5.0000,Pesos
51,Argentina,1973,5.0000,Pesos
52,Argentina,1974,5.0000,Pesos
53,Argentina,1975,36.5750,Pesos
54,Argentina,1976,139.9830,Pesos
55,Argentina,1977,407.6330,Pesos
56,Argentina,1978,795.7500,Pesos
57,Argentina,1979,1316.9700,Pesos
58,Argentina,1980,1837.1600,Pesos
59,Argentina,1981,4402.6900,Pesos
60,Argentina,1982,25922.5000,Pesos
61,Argentina,1983,10.5300,Old Pesos Argentino
62,Argentina,1984,67.6491,Old Pesos Argentino
63,Argentina,1985,0.6018,Australes
64,Argentina,1986,0.9430,Australes
65,Argentina,1987,2.1443,Australes
66,Argentina,1988,8.7526,Australes
67,Argentina,1989,423.3000,Australes
68,Argentina,1990,4875.9000,Australes
69,Argentina,1991,9535.5000,Australes
70,Argentina,1992,0.9906,(New) Pesos Argentino
71,Argentina,1993,0.9990,(New) Pesos Argentino
72,Argentina,1994,0.9990,(New) Pesos Argentino
73,Argentina,1995,0.9998,(New) Pesos Argentino
74,Argentina,1996,0.9997,(New) Pesos Argentino
75,Argentina,1997,0.9995,(New) Pesos Argentino
76,Argentina,1998,0.9995,(New) Pesos Argentino
77,Argentina,1999,0.9995,(New) Pesos Argentino
78,Argentina,2000,0.9995,(New) Pesos Argentino
79,Argentina,2001,0.9995,(New) Pesos Argentino
80,Argentina,2002,3.0633,(New) Pesos Argentino
81,Argentina,2003,2.9006,(New) Pesos Argentino
82,Argentina,2004,2.9233,(New) Pesos Argentino
83,Argentina,2005,2.9037,(New) Pesos Argentino
84,Argentina,2006,3.0543,(New) Pesos Argentino
85,Argentina,2007,3.0960,New Pesos Argentino
86,Argentina,2008,3.1442,New Pesos Argentino
87,Argentina,2009,3.7101,New Pesos Argentino
88,Argentina,2010,3.8963,New Pesos Argentino
89,Argentina,2011,4.1100,New Pesos Argentino
90,Argentina,2012,4.5370,New Pesos Argentino
91,Argentina,2013,5.4590,New Pesos Argentino
92,Argentina,2014,8.0750,New Pesos Argentino
93,Argentina,2015,9.2300,New Pesos Argentino
94,Argentina,2016,14.7582,New Pesos Argentino
95,Argentina,2017,16.5627,New Pesos Argentino
96,Argentina,2018,28.0950,New Pesos Argentino
97,Argentina,2019,48.1500,New Pesos Argentino
98,Argentina,2020,70.5400,New Pesos Argentino
99,Argentina,2021,95.0821,New Pesos Argentino
100,Argentina,2022,130.6100,New Pesos Argentino
101,Argentina,2023,296.2580,New Pesos Argentino
102,Argentina,2024,915.5390,New Pesos Argentino
104,Australia,1928,0.2070,Australian Pound
105,Australia,1929,0.2080,Australian Pound
106,Australia,1930,0.2180,Australian Pound
107,Australia,1931,0.2840,Australian Pound
108,Australia,1932,0.3570,Australian Pound
109,Australia,1933,0.2970,Australian Pound
110,Australia,1934,0.2490,Australian Pound
111,Australia,1935,0.2570,Australian Pound
112,Australia,1936,0.2530,Australian Pound
113,Australia,1937,0.2540,Australian Pound
114,Australia,1938,0.2570,Australian Pound
115,Australia,1939,0.2830,Australian Pound
116,Australia,1940,0.3280,Australian Pound
117,Australia,1950,0.4480,Australian Pound
118,Australia,1951,0.4480,Australian Pound
119,Australia,1952,0.4490,Australian Pound
120,Australia,1953,0.4460,Australian Pound
121,Australia,1954,0.4470,Australian Pound
122,Australia,1955,0.4500,Australian Pound
123,Australia,1956,0.4490,Australian Pound
124,Australia,1957,0.4490,Australian Pound
125,Australia,1958,0.4470,Australian Pound
126,Australia,1959,0.4470,Australian Pound
127,Australia,1960,0.4470,Australian Pound
128,Australia,1961,0.4480,Australian Pound
129,Australia,1962,0.4470,Australian Pound
130,Australia,1963,0.4480,Australian Pound
131,Australia,1964,0.4490,Australian Pound
132,Australia,1965,0.4490,Australian Pound
133,Australia,1966,0.8990,Australian Dollar
134,Australia,1967,0.8990,Australian Dollar
135,Australia,1968,0.8990,Australian Dollar
136,Australia,1969,0.9000,Australian Dollar
137,Australia,1970,0.8980,Australian Dollar
138,Australia,1971,0.8800,Australian Dollar
139,Australia,1972,0.8390,Australian Dollar
140,Australia,1973,0.7050,Australian Dollar
141,Australia,1974,0.6950,Australian Dollar
142,Australia,1975,0.7650,Australian Dollar
143,Australia,1976,0.8190,Australian Dollar
144,Australia,1977,0.9020,Australian Dollar
145,Australia,1978,0.8740,Australian Dollar
146,Australia,1979,0.8950,Australian Dollar
147,Australia,1980,0.8770,Australian Dollar
148,Australia,1981,0.8700,Australian Dollar
149,Australia,1982,0.9840,Australian Dollar
150,Australia,1983,1.1090,Australian Dollar
151,Australia,1984,1.1370,Australian Dollar
152,Australia,1985,1.4280,Australian Dollar
153,Australia,1986,1.4900,Australian Dollar
154,Australia,1987,1.4260,Australian Dollar
155,Australia,1988,1.2750,Australian Dollar
156,Australia,1989,1.2630,Australian Dollar
157,Australia,1990,1.2810,Australian Dollar
158,Australia,1991,1.2840,Australian Dollar
159,Australia,1992,1.3600,Australian Dollar
160,Australia,1993,1.4710,Australian Dollar
161,Australia,1994,1.3670,Australian Dollar
162,Australia,1995,1.3500,Australian Dollar
163,Australia,1996,1.2770,Australian Dollar
164,Australia,1997,1.3450,Australian Dollar
165,Australia,1998,1.5900,Australian Dollar
166,Australia,1999,1.5494,Australian Dollar
167,Australia,2000,1.7197,Australian Dollar
168,Australia,2001,1.9346,Australian Dollar
169,Australia,2002,1.8392,Australian Dollar
170,Australia,2003,1.5328,Australian Dollar
171,Australia,2004,1.3578,Australian Dollar
172,Australia,2005,1.3111,Australian Dollar
173,Australia,2006,1.3271,Australian Dollar
174,Australia,2007,1.1918,Australian Dollar
175,Australia,2008,1.1714,Australian Dollar
176,Australia,2009,1.2615,Australian Dollar
177,Australia,2010,1.0870,Australian Dollar
178,Australia,2011,1.0330,Australian Dollar
179,Australia,2011,0.9678,Australian Dollar
180,Australia,2012,0.9653,Australian Dollar
181,Australia,2013,1.0327,Australian Dollar
182,Australia,2014,1.1069,Australian Dollar
183,Australia,2015,1.3290,Australian Dollar
184,Australia,2016,1.3452,Australian Dollar
185,Australia,2017,1.3048,Australian Dollar
186,Australia,2018,1.3384,Australian Dollar
187,Australia,2019,1.4400,Australian Dollar
188,Australia,2020,1.4500,Australian Dollar
189,Australia,2021,1.3312,Australian Dollar
190,Australia,2022,1.4417,Australian Dollar
191,Australia,2023,1.5052,Australian Dollar
192,Australia,2024,1.5156,Australian Dollar
194,Austria,1913,4.9555,Kronen
195,Austria,1914,5.0843,Kronen
196,Austria,1915,6.5047,Kronen
197,Austria,1916,7.9527,Kronen
198,Austria,1917,8.8977,Kronen
199,Austria,1921,994.0360,Kronen
200,Austria,1922,10309.3000,Kronen
201,Austria,1923,71428.6000,Kronen
202,Austria,1924,71428.6000,Kronen
203,Austria,1925,7.1177,Old Shillings
204,Austria,1926,7.1053,Old Shillings
205,Austria,1927,7.1041,Old Shillings
206,Austria,1928,7.1052,Old Shillings
207,Austria,1929,7.1136,Old Shillings
208,Austria,1930,7.0977,Old Shillings
209,Austria,1931,7.1313,Old Shillings
210,Austria,1932,7.1634,Old Shillings
211,Austria,1933,6.4734,Old Shillings
212,Austria,1934,5.3211,Old Shillings
