country,year,currency
"Argentina, 1600 - 2025",1916,0.9666 Gold Pesos
"Argentina, 1600 - 2025",1917,0.9986 Gold Pesos
"Argentina, 1600 - 2025",1918,0.9985 Gold Pesos
"Argentina, 1600 - 2025",1919,1.0099 Gold Pesos
"Argentina, 1600 - 2025",1920,1.1025 Gold Pesos
"Argentina, 1600 - 2025",1921,1.3698 Gold Pesos
"Argentina, 1600 - 2025",1922,1.2223 Gold Pesos
"Argentina, 1600 - 2025",1923,1.2727 Gold Pesos
"Argentina, 1600 - 2025",1924,1.2799 Gold Pesos
"Argentina, 1600 - 2025",1925,1.0943 Gold Pesos
"Argentina, 1600 - 2025",1926,1.0852 Gold Pesos
"Argentina, 1600 - 2025",1927,1.0385 Gold Pesos
"Argentina, 1600 - 2025",1928,1.0365 Gold Pesos
"Argentina, 1600 - 2025",1929,1.0512 Gold Pesos
"Argentina, 1600 - 2025",1930,1.1975 Gold Pesos
"Argentina, 1600 - 2025",1931,1.4984 Gold Pesos
"Argentina, 1600 - 2025",1932,1.7111 Gold Pesos
"Argentina, 1600 - 2025",1933,1.3708 Gold Pesos
"Argentina, 1600 - 2025",1934,2.9780 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1935,3.0620 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1936,3.0178 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1937,3.0341 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1938,3.0678 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1939,3.2414 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1940,3.3587 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1941,3.3587 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1948,4.8100 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1949,9.0200 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1950,14.0200 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1951,14.4600 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1952,13.9800 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1953,13.9800 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1954,13.9800 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1955,36.1000 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1956,37.4500 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1957,37.0000 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1958,70.0000 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1959,79.9208 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1960,82.8900 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1961,82.8558 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1962,116.2280 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1963,138.7170 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1964,140.3920 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1965,169.5670 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1966,209.1500 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1967,333.4250 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1968,350.0000 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1969,350.0000 Pesos Moneda Nacional
"Argentina, 1600 - 2025",1970,3.7917 Pesos
"Argentina, 1600 - 2025",1971,4.5217 Pesos
"Argentina, 1600 - 2025",1972,5.0000 Pesos
"Argentina, 1600 - 2025",1973,5.0000 Pesos
"Argentina, 1600 - 2025",1974,5.0000 Pesos
"Argentina, 1600 - 2025",1975,36.5750 Pesos
"Argentina, 1600 - 2025",1976,139.9830 Pesos
"Argentina, 1600 - 2025",1977,407.6330 Pesos
"Argentina, 1600 - 2025",1978,795.7500 Pesos
"Argentina, 1600 - 2025",1979,1316.9700 Pesos
"Argentina, 1600 - 2025",1980,1837.1600 Pesos
"Argentina, 1600 - 2025",1981,4402.6900 Pesos
"Argentina, 1600 - 2025",1982,25922.5000 Pesos
"Argentina, 1600 - 2025",1983,10.5300 Old Pesos Argentino
"Argentina, 1600 - 2025",1984,67.6491 Old Pesos Argentino
"Argentina, 1600 - 2025",1985,0.6018 Australes
"Argentina, 1600 - 2025",1986,0.9430 Australes
"Argentina, 1600 - 2025",1987,2.1443 Australes
"Argentina, 1600 - 2025",1988,8.7526 Australes
"Argentina, 1600 - 2025",1989,423.3000 Australes
"Argentina, 1600 - 2025",1990,4875.9000 Australes
"Argentina, 1600 - 2025",1991,9535.5000 Australes
"Argentina, 1600 - 2025",1992,0.9906 (New) Pesos Argentino
"Argentina, 1600 - 2025",1993,0.9990 (New) Pesos Argentino
"Argentina, 1600 - 2025",1994,0.9990 (New) Pesos Argentino
"Argentina, 1600 - 2025",1995,0.9998 (New) Pesos Argentino
"Argentina, 1600 - 2025",1996,0.9997 (New) Pesos Argentino
"Argentina, 1600 - 2025",1997,0.9995 (New) Pesos Argentino
"Argentina, 1600 - 2025",1998,0.9995 (New) Pesos Argentino
"Argentina, 1600 - 2025",1999,0.9995 (New) Pesos Argentino
"Argentina, 1600 - 2025",2000,0.9995 (New) Pesos Argentino
"Argentina, 1600 - 2025",2001,0.9995 (New) Pesos Argentino
"Argentina, 1600 - 2025",2002,3.0633 (New) Pesos Argentino
"Argentina, 1600 - 2025",2003,2.9006 (New) Pesos Argentino
"Argentina, 1600 - 2025",2004,2.9233 (New) Pesos Argentino
"Argentina, 1600 - 2025",2005,2.9037 (New) Pesos Argentino
"Argentina, 1600 - 2025",2006,3.0543 (New) Pesos Argentino
"Argentina, 1600 - 2025",2007,3.0960 New Pesos Argentino
"Argentina, 1600 - 2025",2008,3.1442 New Pesos Argentino
"Argentina, 1600 - 2025",2009,3.7101 New Pesos Argentino
"Argentina, 1600 - 2025",2010,3.8963 New Pesos Argentino
"Argentina, 1600 - 2025",2011,4.1100 New Pesos Argentino
"Argentina, 1600 - 2025",2012,4.5370 New Pesos Argentino
"Argentina, 1600 - 2025",2013,5.4590 New Pesos Argentino
"Argentina, 1600 - 2025",2014,8.0750 New Pesos Argentino
"Argentina, 1600 - 2025",2015,9.2300 New Pesos Argentino
"Argentina, 1600 - 2025",2016,14.7582 New Pesos Argentino
"Argentina, 1600 - 2025",2017,16.5627 New Pesos Argentino
"Argentina, 1600 - 2025",2018,28.0950 New Pesos Argentino
"Argentina, 1600 - 2025",2019,48.1500 New Pesos Argentino
"Argentina, 1600 - 2025",2020,70.5400 New Pesos Argentino
"Argentina, 1600 - 2025",2021,95.0821 New Pesos Argentino
"Argentina, 1600 - 2025",2022,130.6100 New Pesos Argentino
"Argentina, 1600 - 2025",2023,296.2580 New Pesos Argentino
"Argentina, 1600 - 2025",2024,915.5390 New Pesos Argentino
,,
"Australia, 1600 - 2025",1928,0.2070 Australian Pound
"Australia, 1600 - 2025",1929,0.2080 Australian Pound
"Australia, 1600 - 2025",1930,0.2180 Australian Pound
"Australia, 1600 - 2025",1931,0.2840 Australian Pound
"Australia, 1600 - 2025",1932,0.3570 Australian Pound
"Australia, 1600 - 2025",1933,0.2970 Australian Pound
"Australia, 1600 - 2025",1934,0.2490 Australian Pound
"Australia, 1600 - 2025",1935,0.2570 Australian Pound
"Australia, 1600 - 2025",1936,0.2530 Australian Pound
"Australia, 1600 - 2025",1937,0.2540 Australian Pound
"Australia, 1600 - 2025",1938,0.2570 Australian Pound
"Australia, 1600 - 2025",1939,0.2830 Australian Pound
"Australia, 1600 - 2025",1940,0.3280 Australian Pound
"Australia, 1600 - 2025",1950,0.4480 Australian Pound
"Australia, 1600 - 2025",1951,0.4480 Australian Pound
"Australia, 1600 - 2025",1952,0.4490 Australian Pound
"Australia, 1600 - 2025",1953,0.4460 Australian Pound
"Australia, 1600 - 2025",1954,0.4470 Australian Pound
"Australia, 1600 - 2025",1955,0.4500 Australian Pound
"Australia, 1600 - 2025",1956,0.4490 Australian Pound
"Australia, 1600 - 2025",1957,0.4490 Australian Pound
"Australia, 1600 - 2025",1958,0.4470 Australian Pound
"Australia, 1600 - 2025",1959,0.4470 Australian Pound
"Australia, 1600 - 2025",1960,0.4470 Australian Pound
"Australia, 1600 - 2025",1961,0.4480 Australian Pound
"Australia, 1600 - 2025",1962,0.4470 Australian Pound
"Australia, 1600 - 2025",1963,0.4480 Australian Pound
"Australia, 1600 - 2025",1964,0.4490 Australian Pound
"Australia, 1600 - 2025",1965,0.4490 Australian Pound
"Australia, 1600 - 2025",1966,0.8990 Australian Dollar
"Australia, 1600 - 2025",1967,0.8990 Australian Dollar
"Australia, 1600 - 2025",1968,0.8990 Australian Dollar
"Australia, 1600 - 2025",1969,0.9000 Australian Dollar
"Australia, 1600 - 2025",1970,0.8980 Australian Dollar
"Australia, 1600 - 2025",1971,0.8800 Australian Dollar
"Australia, 1600 - 2025",1972,0.8390 Australian Dollar
"Australia, 1600 - 2025",1973,0.7050 Australian Dollar
"Australia, 1600 - 2025",1974,0.6950 Australian Dollar
"Australia, 1600 - 2025",1975,0.7650 Australian Dollar
"Australia, 1600 - 2025",1976,0.8190 Australian Dollar
"Australia, 1600 - 2025",1977,0.9020 Australian Dollar
"Australia, 1600 - 2025",1978,0.8740 Australian Dollar
"Australia, 1600 - 2025",1979,0.8950 Australian Dollar
"Australia, 1600 - 2025",1980,0.8770 Australian Dollar
"Australia, 1600 - 2025",1981,0.8700 Australian Dollar
"Australia, 1600 - 2025",1982,0.9840 Australian Dollar
"Australia, 1600 - 2025",1983,1.1090 Australian Dollar
"Australia, 1600 - 2025",1984,1.1370 Australian Dollar
"Australia, 1600 - 2025",1985,1.4280 Australian Dollar
"Australia, 1600 - 2025",1986,1.4900 Australian Dollar
"Australia, 1600 - 2025",1987,1.4260 Australian Dollar
"Australia, 1600 - 2025",1988,1.2750 Australian Dollar
"Australia, 1600 - 2025",1989,1.2630 Australian Dollar
"Australia, 1600 - 2025",1990,1.2810 Australian Dollar
"Australia, 1600 - 2025",1991,1.2840 Australian Dollar
"Australia, 1600 - 2025",1992,1.3600 Australian Dollar
"Australia, 1600 - 2025",1993,1.4710 Australian Dollar
"Australia, 1600 - 2025",1994,1.3670 Australian Dollar
"Australia, 1600 - 2025",1995,1.3500 Australian Dollar
"Australia, 1600 - 2025",1996,1.2770 Australian Dollar
"Australia, 1600 - 2025",1997,1.3450 Australian Dollar
"Australia, 1600 - 2025",1998,1.5900 Australian Dollar
"Australia, 1600 - 2025",1999,1.5494 Australian Dollar
"Australia, 1600 - 2025",2000,1.7197 Australian Dollar
"Australia, 1600 - 2025",2001,1.9346 Australian Dollar
"Australia, 1600 - 2025",2002,1.8392 Australian Dollar
"Australia, 1600 - 2025",2003,1.5328 Australian Dollar
"Australia, 1600 - 2025",2004,1.3578 Australian Dollar
"Australia, 1600 - 2025",2005,1.3111 Australian Dollar
"Australia, 1600 - 2025",2006,1.3271 Australian Dollar
"Australia, 1600 - 2025",2007,1.1918 Australian Dollar
"Australia, 1600 - 2025",2008,1.1714 Australian Dollar
"Australia, 1600 - 2025",2009,1.2615 Australian Dollar
"Australia, 1600 - 2025",2010,1.0870 Australian Dollar
"Australia, 1600 - 2025",2011,1.0330 Australian Dollar
"Australia, 1600 - 2025",2011,0.9678 Australian Dollar
"Australia, 1600 - 2025",2012,0.9653 Australian Dollar
"Australia, 1600 - 2025",2013,1.0327 Australian Dollar
"Australia, 1600 - 2025",2014,1.1069 Australian Dollar
"Australia, 1600 - 2025",2015,1.3290 Australian Dollar
"Australia, 1600 - 2025",2016,1.3452 Australian Dollar
"Australia, 1600 - 2025",2017,1.3048 Australian Dollar
"Australia, 1600 - 2025",2018,1.3384 Australian Dollar
"Australia, 1600 - 2025",2019,1.4400 Australian Dollar
"Australia, 1600 - 2025",2020,1.4500 Australian Dollar
"Australia, 1600 - 2025",2021,1.3312 Australian Dollar
"Australia, 1600 - 2025",2022,1.4417 Australian Dollar
"Australia, 1600 - 2025",2023,1.5052 Australian Dollar
"Australia, 1600 - 2025",2024,1.5156 Australian Dollar
,,
"Austria, 1600 - 2025",1913,4.9555 Kronen
"Austria, 1600 - 2025",1914,5.0843 Kronen
"Austria, 1600 - 2025",1915,6.5047 Kronen
"Austria, 1600 - 2025",1916,7.9527 Kronen
"Austria, 1600 - 2025",1917,8.8977 Kronen
"Austria, 1600 - 2025",1921,994.0360 Kronen
"Austria, 1600 - 2025",1922,10309.3000 Kronen
"Austria, 1600 - 2025",1923,71428.6000 Kronen
"Austria, 1600 - 2025",1924,71428.6000 Kronen
"Austria, 1600 - 2025",1925,7.1177 Old Shillings
"Austria, 1600 - 2025",1926,7.1053 Old Shillings
"Austria, 1600 - 2025",1927,7.1041 Old Shillings
"Austria, 1600 - 2025",1928,7.1052 Old Shillings
"Austria, 1600 - 2025",1929,7.1136 Old Shillings
"Austria, 1600 - 2025",1930,7.0977 Old Shillings
"Austria, 1600 - 2025",1931,7.1313 Old Shillings
"Austria, 1600 - 2025",1932,7.1634 Old Shillings
"Austria, 1600 - 2025",1933,6.4734 Old Shillings
"Austria, 1600 - 2025",1934,5.3211 Old Shillings
"Austria, 1600 - 2025",1935,5.3104 Old Shillings
"Austria, 1600 - 2025",1936,5.3215 Old Shillings
"Austria, 1600 - 2025",1937,5.3277 Old Shillings
"Austria, 1600 - 2025",1938,5.2866 Old Shillings
"Austria, 1600 - 2025",1953,25.9202 Shillings
"Austria, 1600 - 2025",1954,25.9202 Shillings
"Austria, 1600 - 2025",1955,25.9202 Shillings
"Austria, 1600 - 2025",1956,25.9202 Shillings
"Austria, 1600 - 2025",1957,25.9477 Shillings
"Austria, 1600 - 2025",1958,25.9498 Shillings
"Austria, 1600 - 2025",1959,25.8940 Shillings
"Austria, 1600 - 2025",1960,26.0004 Shillings
"Austria, 1600 - 2025",1961,25.9869 Shillings
"Austria, 1600 - 2025",1962,25.8498 Shillings
"Austria, 1600 - 2025",1963,25.8465 Shillings
"Austria, 1600 - 2025",1964,25.8411 Shillings
"Austria, 1600 - 2025",1965,25.8371 Shillings
"Austria, 1600 - 2025",1966,25.8491 Shillings
"Austria, 1600 - 2025",1967,25.8478 Shillings
"Austria, 1600 - 2025",1968,25.8565 Shillings
"Austria, 1600 - 2025",1969,25.8705 Shillings
"Austria, 1600 - 2025",1970,25.8672 Shillings
"Austria, 1600 - 2025",1971,24.9944 Shillings
"Austria, 1600 - 2025",1972,23.1332 Shillings
"Austria, 1600 - 2025",1973,19.3615 Shillings
"Austria, 1600 - 2025",1974,18.6693 Shillings
"Austria, 1600 - 2025",1975,17.4013 Shillings
"Austria, 1600 - 2025",1976,17.9391 Shillings
"Austria, 1600 - 2025",1977,16.5306 Shillings
"Austria, 1600 - 2025",1978,14.5016 Shillings
"Austria, 1600 - 2025",1979,13.3870 Shillings
"Austria, 1600 - 2025",1980,12.9450 Shillings
"Austria, 1600 - 2025",1981,15.9480 Shillings
"Austria, 1600 - 2025",1982,17.0600 Shillings
"Austria, 1600 - 2025",1983,17.9680 Shillings
"Austria, 1600 - 2025",1984,20.0050 Shillings
"Austria, 1600 - 2025",1985,20.6760 Shillings
"Austria, 1600 - 2025",1986,15.2600 Shillings
"Austria, 1600 - 2025",1987,12.6490 Shillings
"Austria, 1600 - 2025",1988,12.3570 Shillings
"Austria, 1600 - 2025",1989,13.2360 Shillings
"Austria, 1600 - 2025",1990,11.3310 Shillings
"Austria, 1600 - 2025",1991,11.6860 Shillings
"Austria, 1600 - 2025",1992,10.9920 Shillings
"Austria, 1600 - 2025",1993,11.6390 Shillings
