"Citation: Lawrence H. Officer, 'Exchange Rates Between the United States Dollar and Forty-one Currencies,' MeasuringWorth, 2025. "
The table(s) present the price of one United States Dollar.
"Argentina, 1600 - 2025"
"1916","0.9666 Gold Pesos"
"1917","0.9986 Gold Pesos"
"1918","0.9985 Gold Pesos"
"1919","1.0099 Gold Pesos"
"1920","1.1025 Gold Pesos"
"1921","1.3698 Gold Pesos"
"1922","1.2223 Gold Pesos"
"1923","1.2727 Gold Pesos"
"1924","1.2799 Gold Pesos"
"1925","1.0943 Gold Pesos"
"1926","1.0852 Gold Pesos"
"1927","1.0385 Gold Pesos"
"1928","1.0365 Gold Pesos"
"1929","1.0512 Gold Pesos"
"1930","1.1975 Gold Pesos"
"1931","1.4984 Gold Pesos"
"1932","1.7111 Gold Pesos"
"1933","1.3708 Gold Pesos"
"1934","2.9780 Pesos Moneda Nacional"
"1935","3.0620 Pesos Moneda Nacional"
"1936","3.0178 Pesos Moneda Nacional"
"1937","3.0341 Pesos Moneda Nacional"
"1938","3.0678 Pesos Moneda Nacional"
"1939","3.2414 Pesos Moneda Nacional"
"1940","3.3587 Pesos Moneda Nacional"
"1941","3.3587 Pesos Moneda Nacional"
"1948","4.8100 Pesos Moneda Nacional"
"1949","9.0200 Pesos Moneda Nacional"
"1950","14.0200 Pesos Moneda Nacional"
"1951","14.4600 Pesos Moneda Nacional"
"1952","13.9800 Pesos Moneda Nacional"
"1953","13.9800 Pesos Moneda Nacional"
"1954","13.9800 Pesos Moneda Nacional"
"1955","36.1000 Pesos Moneda Nacional"
"1956","37.4500 Pesos Moneda Nacional"
"1957","37.0000 Pesos Moneda Nacional"
"1958","70.0000 Pesos Moneda Nacional"
"1959","79.9208 Pesos Moneda Nacional"
"1960","82.8900 Pesos Moneda Nacional"
"1961","82.8558 Pesos Moneda Nacional"
"1962","116.2280 Pesos Moneda Nacional"
"1963","138.7170 Pesos Moneda Nacional"
"1964","140.3920 Pesos Moneda Nacional"
"1965","169.5670 Pesos Moneda Nacional"
"1966","209.1500 Pesos Moneda Nacional"
"1967","333.4250 Pesos Moneda Nacional"
"1968","350.0000 Pesos Moneda Nacional"
"1969","350.0000 Pesos Moneda Nacional"
"1970","3.7917 Pesos"
"1971","4.5217 Pesos"
"1972","5.0000 Pesos"
"1973","5.0000 Pesos"
"1974","5.0000 Pesos"
"1975","36.5750 Pesos"
"1976","139.9830 Pesos"
"1977","407.6330 Pesos"
"1978","795.7500 Pesos"
"1979","1316.9700 Pesos"
"1980","1837.1600 Pesos"
"1981","4402.6900 Pesos"
"1982","25922.5000 Pesos"
"1983","10.5300 Old Pesos Argentino"
"1984","67.6491 Old Pesos Argentino"
"1985","0.6018 Australes"
"1986","0.9430 Australes"
"1987","2.1443 Australes"
"1988","8.7526 Australes"
"1989","423.3000 Australes"
"1990","4875.9000 Australes"
"1991","9535.5000 Australes"
"1992","0.9906 (New) Pesos Argentino"
"1993","0.9990 (New) Pesos Argentino"
"1994","0.9990 (New) Pesos Argentino"
"1995","0.9998 (New) Pesos Argentino"
"1996","0.9997 (New) Pesos Argentino"
"1997","0.9995 (New) Pesos Argentino"
"1998","0.9995 (New) Pesos Argentino"
"1999","0.9995 (New) Pesos Argentino"
"2000","0.9995 (New) Pesos Argentino"
"2001","0.9995 (New) Pesos Argentino"
"2002","3.0633 (New) Pesos Argentino"
"2003","2.9006 (New) Pesos Argentino"
"2004","2.9233 (New) Pesos Argentino"
"2005","2.9037 (New) Pesos Argentino"
"2006","3.0543 (New) Pesos Argentino"
"2007","3.0960 New Pesos Argentino"
"2008","3.1442 New Pesos Argentino"
"2009","3.7101 New Pesos Argentino"
"2010","3.8963 New Pesos Argentino"
"2011","4.1100 New Pesos Argentino"
"2012","4.5370 New Pesos Argentino"
"2013","5.4590 New Pesos Argentino"
"2014","8.0750 New Pesos Argentino"
"2015","9.2300 New Pesos Argentino"
"2016","14.7582 New Pesos Argentino"
"2017","16.5627 New Pesos Argentino"
"2018","28.0950 New Pesos Argentino"
"2019","48.1500 New Pesos Argentino"
"2020","70.5400 New Pesos Argentino"
"2021","95.0821 New Pesos Argentino"
"2022","130.6100 New Pesos Argentino"
"2023","296.2580 New Pesos Argentino"
"2024","915.5390 New Pesos Argentino"
"Australia, 1600 - 2025"
"1928","0.2070 Australian Pound"
"1929","0.2080 Australian Pound"
"1930","0.2180 Australian Pound"
"1931","0.2840 Australian Pound"
"1932","0.3570 Australian Pound"
"1933","0.2970 Australian Pound"
"1934","0.2490 Australian Pound"
"1935","0.2570 Australian Pound"
"1936","0.2530 Australian Pound"
"1937","0.2540 Australian Pound"
"1938","0.2570 Australian Pound"
"1939","0.2830 Australian Pound"
"1940","0.3280 Australian Pound"
"1950","0.4480 Australian Pound"
"1951","0.4480 Australian Pound"
"1952","0.4490 Australian Pound"
"1953","0.4460 Australian Pound"
"1954","0.4470 Australian Pound"
"1955","0.4500 Australian Pound"
"1956","0.4490 Australian Pound"
"1957","0.4490 Australian Pound"
"1958","0.4470 Australian Pound"
"1959","0.4470 Australian Pound"
"1960","0.4470 Australian Pound"
"1961","0.4480 Australian Pound"
"1962","0.4470 Australian Pound"
"1963","0.4480 Australian Pound"
"1964","0.4490 Australian Pound"
"1965","0.4490 Australian Pound"
"1966","0.8990 Australian Dollar"
"1967","0.8990 Australian Dollar"
"1968","0.8990 Australian Dollar"
"1969","0.9000 Australian Dollar"
"1970","0.8980 Australian Dollar"
